mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_vectorizer__ngram_range,param_vectorizer__max_features,param_classifier__tol,param_classifier__max_iter,param_classifier__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
42.71018297672272,1.0449578720300918,2.575348234176636,0.051578313646698404,"(1, 3)",10000,0.0001,1000,1.0,"{'vectorizer__ngram_range': (1, 3), 'vectorizer__max_features': 10000, 'classifier__tol': 0.0001, 'classifier__max_iter': 1000, 'classifier__C': 1}",0.9520018458988315,0.9511837999437489,0.9499288901307836,0.9527005239400692,0.9516016661604275,0.9527522207846966,0.9532880987256679,0.950351738986671,0.9512944116694378,0.9511456229494284,0.9516248819189762,0.0010182123433551283,3
27.599422144889832,0.21746846442382511,2.316117548942566,0.05499112928838984,"(2, 2)",10000,0.01,100,10.0,"{'vectorizer__ngram_range': (2, 2), 'vectorizer__max_features': 10000, 'classifier__tol': 0.01, 'classifier__max_iter': 100, 'classifier__C': 10}",0.19622104769755452,0.19622104769755452,0.19622104769755452,0.19622104769755452,0.19622104769755452,0.19622104769755452,0.19622104769755452,0.19624385828807864,0.19622104769755452,0.19622104769755452,0.19622332875660695,6.843177157234149e-06,89
42.31735351085663,0.5492108592080783,2.537135696411133,0.03556229572092194,"(1, 3)",1000,0.01,100,0.1,"{'vectorizer__ngram_range': (1, 3), 'vectorizer__max_features': 1000, 'classifier__tol': 0.01, 'classifier__max_iter': 100, 'classifier__C': 0.1}",0.9007947931687305,0.8979272673865869,0.9002236608994062,0.8966171080098325,0.8998136816274074,0.9029623923940208,0.9042409127027963,0.8973927351321045,0.9006961300976486,0.902119427618842,0.9002788109037375,0.002328406500226732,42
21.71371614933014,0.23727549440660334,2.2676395177841187,0.0362105043176193,"(1, 1)",10000,0.001,1000,0.1,"{'vectorizer__ngram_range': (1, 1), 'vectorizer__max_features': 10000, 'classifier__tol': 0.001, 'classifier__max_iter': 1000, 'classifier__C': 0.1}",0.9383195267780279,0.935981730408896,0.933955550928775,0.939082028616976,0.9379535669566618,0.9374321060998643,0.9428722360193599,0.9367280242773502,0.9364342089601427,0.9370342807143928,0.9375793259760445,0.00221358935381895,17
28.568568873405457,0.36995130645688845,2.3061522483825683,0.02875769155215644,"(2, 2)",10000,0.001,500,100.0,"{'vectorizer__ngram_range': (2, 2), 'vectorizer__max_features': 10000, 'classifier__tol': 0.001, 'classifier__max_iter': 500, 'classifier__C': 100}",0.8805549760008532,0.8800001520257954,0.8688142642238423,0.8848582600143592,0.8807409926410328,0.8864225100494049,0.88482719391718,0.8760654181256742,0.8702210648626599,0.8783480368285558,0.8790852868689358,0.005653329711710372,51
21.355253911018373,0.2568330688503114,2.25072021484375,0.045574659277657366,"(1, 1)",1000,0.01,500,0.001,"{'vectorizer__ngram_range': (1, 1), 'vectorizer__max_features': 1000, 'classifier__tol': 0.01, 'classifier__max_iter': 500, 'classifier__C': 0.001}",0.820730812879158,0.819504418267933,0.8225694324888536,0.8187952623916268,0.8242905708293561,0.823687727251219,0.8264357739408729,0.8232571015972584,0.8220264844095565,0.8201927797828331,0.8221490363838667,0.0022545403391003613,60
40.660256958007814,0.47182092272129184,2.4247185468673704,0.04138792321606004,"(2, 3)",1000,0.01,1000,1.0,"{'vectorizer__ngram_range': (2, 3), 'vectorizer__max_features': 1000, 'classifier__tol': 0.01, 'classifier__max_iter': 1000, 'classifier__C': 1}",0.19622104769755452,0.19622104769755452,0.19622104769755452,0.19622104769755452,0.19622104769755452,0.19622104769755452,0.19622104769755452,0.19624385828807864,0.19622104769755452,0.19622104769755452,0.19622332875660695,6.843177157234149e-06,89
29.436925840377807,0.2957405318324598,2.4690072774887084,0.020660317338068536,"(1, 2)",50000,0.01,500,0.001,"{'vectorizer__ngram_range': (1, 2), 'vectorizer__max_features': 50000, 'classifier__tol': 0.01, 'classifier__max_iter': 500, 'classifier__C': 0.001}",0.5569908329501572,0.5521721608499571,0.5457157649704223,0.5575165374183163,0.5513865286060152,0.5601287112412775,0.5564341993642713,0.5480956970653962,0.5536745805464965,0.5563090090447997,0.5538424022057109,0.0042854074131947134,84
21.411020708084106,0.14914129566526027,2.2541583776474,0.043882796149709864,"(1, 1)",10000,0.001,500,0.001,"{'vectorizer__ngram_range': (1, 1), 'vectorizer__max_features': 10000, 'classifier__tol': 0.001, 'classifier__max_iter': 500, 'classifier__C': 0.001}",0.7293762029087221,0.7252889009579565,0.718976583693729,0.7246345786983054,0.7340007895463144,0.7273931635823095,0.7327598225160558,0.7285930461708404,0.726810715233265,0.725940487004474,0.7273774290311972,0.0040392756840946335,64
40.74083395004273,0.5747801890436454,2.4463598012924193,0.025568273743747635,"(2, 3)",1000,0.01,100,0.001,"{'vectorizer__ngram_range': (2, 3), 'vectorizer__max_features': 1000, 'classifier__tol': 0.01, 'classifier__max_iter': 100, 'classifier__C': 0.001}",0.19622104769755452,0.19622104769755452,0.19622104769755452,0.19622104769755452,0.19622104769755452,0.19622104769755452,0.19622104769755452,0.19624385828807864,0.19622104769755452,0.19622104769755452,0.19622332875660695,6.843177157234149e-06,89
